Sample	richness	shannon	simpson	invsimpson
0055-1FF	70	1.82777377168601	0.68354557132136	3.16001265703727
0055-4FF	57	2.08752301044877	0.801004947423667	5.025250563033
0055-5FF	55	2.21174854408645	0.843765077813557	6.400617646845
0073-1FF	80	2.47002433686054	0.846036973646708	6.49506588487905
0073-4FF	43	2.53741583160945	0.891063856884132	9.17968978336572
0073-5FF	34	2.39317967840531	0.87990250154788	8.32656810415311
0091-1FF	23	0.157088483141291	0.0436992871989	1.04569617758717
0091-4FF	36	1.73593532306651	0.675874882342157	3.08522834399903
0091-5FF	44	2.53993929009294	0.868607628211946	7.61079190817161
0109-1FF	41	1.91185311250745	0.798471364315385	4.96207398319792
0109-4FF	42	2.31599632366761	0.850198788757769	6.67551344683712
0109-5FF	58	2.30817819349553	0.839914486991052	6.24666143240648
0127-1FF	59	2.35901530833223	0.839027059269503	6.21222421272785
0127-4FF	66	2.70335926957361	0.889428705503632	9.04393861494359
0127-5FF	51	2.47636783125092	0.858828825129836	7.08359904859971
0136-1FF	48	2.68451157841079	0.89396435999112	9.43079138218296
0136-4FF	41	2.3234697629457	0.843440706721704	6.38735637508545
0136-5FF	58	2.55506140087728	0.86159044615621	7.22493478397169
0145-1FF	87	2.46896748867969	0.868681171282819	7.61505421399761
0145-4FF	79	2.53252935135801	0.85987234472982	7.13635005218566
0145-5FF	85	2.48332129863678	0.856865328169366	6.98642744773441
0163-1FF	36	1.31176136634954	0.432984248767726	1.76361943707338
0163-4FF	57	2.62323097714114	0.89105853398494	9.17924126210823
0163-5FF	47	2.24134680922756	0.826962302375531	5.77908752675517
0181-1FF	58	2.4343375493	0.853050369181922	6.80505282274568
0181-4FF	52	2.3713509049431	0.852924342023423	6.79922166426248
0181-5FF	41	1.46929171153876	0.581260818903829	2.38812140144663
0217-1FF	59	1.65740942773298	0.58640192528272	2.41780622572666
0217-4FF	53	2.7573754798896	0.91406379896088	11.6365395247665
0217-5FF	46	2.57419006280443	0.895912614754578	9.60731214106452
0226-1	39	2.27123781822608	0.86185118907759	7.23857117063165
0226-1FF	47	2.35418635690531	0.860614579801038	7.17435151088667
0226-4	47	2.42861936251918	0.86596018307962	7.46046975425222
0226-4FF	52	2.50604471666252	0.876325851438781	8.08576417653684
0226-5	48	2.13630404843713	0.835362994300629	6.0739685816809
0226-5FF	41	2.16861891347841	0.845067128234817	6.45440821309766
0235-1	20	1.89264479586292	0.710941471007919	3.45950698457818
0235-1FF	53	2.74039433522211	0.901791018721947	10.1823681193552
0235-4	27	1.04865876347857	0.47340545388778	1.89899422123315
0235-4FF	35	1.53216064493957	0.707546552907903	3.41934762589784
0235-5	29	1.69918146481894	0.7648869875377	4.25327373218166
0235-5FF	29	1.38205462872826	0.620896157891785	2.63779969740996
0253-1FF	29	2.25496119393455	0.85287943780996	6.79714640233817
0253-4	28	2.27079068266274	0.855997832365799	6.94433991118961
0253-4FF	32	2.34531350923189	0.868462928020006	7.60241949244614
0253-5	28	1.90505164738012	0.7320931676705	3.73264090096103
0253-5FF	37	2.24517655883857	0.813136857843263	5.35151013976433
0271-1	34	1.92419570280178	0.784787759125	4.64657584500885
0271-1FF	33	2.16271302909791	0.829165706634953	5.85362564097802
0271-4FF	31	2.2568172634299	0.8474850359992	6.55673367234152
0271-5	28	2.19588649704686	0.84808234488862	6.5825133969244
0271-5FF	43	2.36818221600589	0.87331434914834	7.89355379458823
0299-1FF	22	2.59831786297785	0.908471522627655	10.9255614067732
0299-4	36	1.90929730935693	0.78221147615286	4.59161016538169
0299-4FF	49	2.20375342541418	0.83070268260314	5.90676813653131
0307-1	34	1.98670809972568	0.780218582885779	4.54997521232789
0307-1FF	39	1.93149990766169	0.761853211481289	4.19909084737219
0307-4	27	1.90550189101058	0.789235263666259	4.74462672169468
0307-4FF	30	2.17553888455364	0.8437271753275	6.39906523796248
0307-5	41	2.37199101804009	0.875183494418612	8.01176090727794
0307-5FF	41	2.62338359250955	0.905407987196279	10.5717171076061
0316-1	28	1.91730747888424	0.768164616162176	4.31340541485043
0316-1FF	30	1.17896875490819	0.454849929003234	1.83435727738524
0316-4	23	2.42246702011494	0.888342542799962	8.95596250421916
0316-4FF	44	2.58125941562595	0.894090131960377	9.4419908032166
0316-5	46	2.53747616021589	0.888539220865775	8.97176574367713
0316-5FF	47	2.58505157739392	0.892190141179015	9.27558955123455
0325-1	51	2.4320376483773	0.86811433764678	7.58232534270307
0325-1FF	46	1.7605252351023	0.632755115304801	2.72297870351541
0325-4	43	2.4034171267436	0.861343463819871	7.21206534902111
0325-4FF	43	2.43916630877526	0.87743551308466	8.15897023002053
0325-5	50	2.2796458435485	0.815215613967	5.41171265315357
0325-5FF	48	2.25833023285628	0.807809016611155	5.20315772554626
0361-1	35	2.12608320554014	0.798827784530114	4.97086537355201
0361-1FF	23	1.36880214289661	0.648339800719913	2.84365419244823
0361-4	23	1.91273842864812	0.79455081012482	4.86738351515305
0361-4FF	28	2.01049234462723	0.812072902898752	5.32121240323975
0361-5	37	2.42408126409575	0.878081714552239	8.20221508469684
0361-5FF	35	2.15878104493569	0.807037847863287	5.18236342685224
0389-1	49	2.37902222665201	0.85866169061642	7.0752225943646
0389-1FF	40	1.51078537506646	0.556207755455344	2.25330661428306
0389-4	37	2.16625546506654	0.83733583502942	6.14763552980992
0389-4FF	44	2.39032085501626	0.872722228565604	7.85683146970751
0389-5	44	2.42191974844038	0.8710653582859	7.75586752098323
0389-5FF	40	2.51582066562865	0.88569409288425	8.74845425956302
0406-1	34	2.05232853786528	0.78276661643358	4.60334403295912
