Sample	g__Abiotrophia	g__Absiella	g__Actinobaculum	g__Actinomyces	g__Adlercreutzia	g__Aeriscardovia	g__Agathobaculum	g__Aggregatibacter	g__Akkermansia	g__Alistipes	g__Allisonella	g__Alloscardovia	g__Anaerococcus	g__Anaerofustis	g__Anaerostipes	g__Anaerotruncus	g__Asaccharobacter	g__Atopobium	g__Bacteroides	g__Barnesiella	g__Bifidobacterium	g__Bilophila	g__Blautia	g__Brochothrix	g__Bulleidia	g__Butyricicoccus	g__Butyricimonas	g__Candida	g__Candidatus_Stoquefichus	g__Carnobacterium	g__Catenibacterium	g__Christensenella	g__Citrobacter	g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified	g__Clostridiales_unclassified	g__Clostridioides	g__Clostridium	g__Collinsella	g__Coprobacillus	g__Coprobacter	g__Coprococcus	g__Corynebacterium	g__Cutibacterium	g__Dialister	g__Dielma	g__Dorea	g__Eggerthella	g__Eisenbergiella	g__Enorma	g__Enterobacter	g__Enterococcus	g__Enterorhabdus	g__Erysipelatoclostridium	g__Escherichia	g__Eubacterium	g__Faecalibacterium	g__Faecalicoccus	g__Faecalitalea	g__Finegoldia	g__Firmicutes_unclassified	g__Flavonifractor	g__Fusicatenibacter	g__Fusobacterium	g__Gardnerella	g__Gemella	g__Gemmiger	g__Gordonibacter	g__Granulicatella	g__Haemophilus	g__Hafnia	g__Holdemanella	g__Holdemania	g__Hungatella	g__Intestinibacter	g__Klebsiella	g__Lachnoclostridium	g__Lachnospira	g__Lachnospiraceae_unclassified	g__Lactobacillus	g__Lactococcus	g__Lactonifactor	g__Lawsonibacter	g__Leptotrichia	g__Leuconostoc	g__Lysinibacillus	g__Massiliomicrobiota	g__Megasphaera	g__Methanobrevibacter	g__Mogibacterium	g__Monoglobus	g__Odoribacter	g__Olsenella	g__Oribacterium	g__Oscillibacter	g__Parabacteroides	g__Paraclostridium	g__Parasutterella	g__Parvimonas	g__Pediococcus	g__Peptoniphilus	g__Peptostreptococcus	g__Phascolarctobacterium	g__Prevotella	g__Propionibacterium	g__Proteobacteria_unclassified	g__Pseudopropionibacterium	g__Rhodococcus	g__Romboutsia	g__Roseburia	g__Rothia	g__Ruminococcaceae_unclassified	g__Ruminococcus	g__Ruthenibacterium	g__Saccharomyces	g__Scardovia	g__Sellimonas	g__Sharpea	g__Slackia	g__Solobacterium	g__Staphylococcus	g__Streptococcus	g__Turicibacter	g__Turicimonas	g__Tyzzerella	g__Varibaculum	g__Veillonella	g__Weissella
0109-4FF	0	0	0	0.63915	0	0	0	0	0	0	0	0	0	0	0.07407	0	0	0	0	0	0.12031	0	2.44435	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16274	2.4554	0	0	0	0	0	0	0	0	0	0	0	0	1.90484	0	0	0	11.63586	0.11856	0	0	0	0	0	0	0	0	0.88218	0.17531	0	0	0	0	4.89464	0	0	0	0	0	0	0	14.76575	0	0	0	0	0.14687	0	0	0	0	0.07694	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04765	0	0	0	0	0.03397	0.00972	0.92996	0	0	0	2.93497	0	0	0	0	0	0.65117	54.63865	0.18649	0	0	0	0.07047	0
0109-5FF	0	0	0	0.84509	0	0	0	0	0	0	0	0	0	0	0.23672	0	0	0.01688	0	0	4.57767	0	16.2639	0	0	0	0	0	0	0	0	0	0	0.02624	0	0	1.16767	5.62084	0	0	0.55238	0	0	0	0	6.36653	0	0	0.00243	0	30.61897	0	0	0.0914	8.08267	0.03111	0	0	0	0	0	0.05531	0	0	0.32946	0.0372	0.00238	0	0	0	20.40754	0	0	0	0	0	0	0	0	1.5389	0	0	0	0	0	0	0	0	0.07687	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07924	0	0	0.00266	0	0.0026	0.01878	0.05316	0	0	0	0	0	0	0	0	0	0.09089	2.44778	0.35675	0	0	0	0	0
0127-1FF	0	0	0	0	0	0	0.50466	0	0.04565	0.11897	0	0	0	0	0.03968	0	0.00322	0	11.00155	0	0	0.01267	6.92189	0	0	0	0.04222	0	0	0	0	0	0	0.00274	0	0	0.01416	8.96087	0	0.38578	1.48452	0	0	0	0	20.38501	0.40602	0	0.01005	0	33.37387	0	0	8.55143	1.19638	0.56927	0	0	0	0.0442	0.02989	0.5725	0	0	0.00459	0.02233	0.0637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35805	0	0	1.05886	0.24081	0	2.66419	0	0	0	0	0	0	0	0.14807	0	0	0	0	0.00919	0	0.00929	0	0	0	0	0	0.66611	0	0	0.04826	0	0.02935	0	0	0	0
0127-4FF	0	0	0	0.38042	0.14977	0	1.29242	0	0.25872	0	0	0	0	0	0.91758	0	0.1322	0	0.04348	0	0	0	31.76135	0	0	0	0	0	0	0	0	0	0	0.01581	0	0	0	3.96119	0	0	0.38719	0	0	0	0	5.9742	0.65579	0	0.00131	0	26.69218	0	0	0.07934	7.4913	0.02768	0	0	0	0	0	6.06494	0	0	0.10408	1.53547	0.0781	0	0	0	0	0	0	0	0	0	0	1.30664	0.01266	0.89135	0	0	0	0.21247	0	0	0	0	0	0.15062	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02488	0	0	0	0.28696	0.04023	0.47287	0	0.00108	0	0	0	0	0	0.27889	0	0	8.16082	0	0	0	0	0	0.15598
0127-5FF	0	0	0	1.28369	1.30154	0	0	0	0	0	0	0	0	0	0.16473	0	0.66687	0	0	0	0	0	49.33558	0	0	0	0	0	0	0	0	0	0	0.14531	0	0	0	4.03325	0	0	0.37785	0.42721	0	0	0	14.51281	1.80883	0	0	0	0.49849	0	0.06862	0.26755	12.05893	0.09836	0	0	0	0	0	2.49547	0	0	0.46822	1.70959	0.27282	0	0	0	0	0	0	0	0	0	0	0.19201	0	0.22274	0	0	0	0	0	0	0	0	0.08804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.80594	0.06284	0.04582	0	0.00573	0	0	0	0	0	3.80213	0	0	2.77904	0	0	0	0	0	0
0136-1FF	0	0	0	0	0	0	0.00418	0	0	0.97733	0	0	0	0	0	0	0	0	27.34375	0	0.02558	0	2.46097	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05167	0.47238	0	0	0	0	0	0	0	0.0085	6.95738	1.0219	0.32063	0	30.28266	0.00517	2.03223	0.28334	0	0.10491	0	0	0	0.83464	0.93884	0	0	0	0	0	0.80747	0	0	0	0	0	1.68781	0	0	0.9736	0	0	0	0	0	0.03644	0	0	0	0	0	0	0	0	0.66114	0	0	0	9.47688	0	0	0	0	0	0	0.81755	0	0	0	0	0	0	0.01083	0	0	0	3.31986	0	0	0.12213	0	0	0	0	5.77551	0	0	0	2.18473	0	0
0136-4FF	0	0	0	0.16799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03086	0	0	0	11.97983	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01658	1.61805	0	0	0	0	0	0	0	0.00995	1.77635	0.0042	3.24304	0	54.09064	0	3.34061	0	0	0	0	0	0	0.00291	0	0	0	0	0.07273	0	0.3412	0	0	0	0	0	0	0	0	0	0	0	0	3.80867	0	0	0	0	0	0	0	0	0	0.42669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00726	0	0	0.11426	0	0	0.63615	0	0	0	0	18.3096	0	0	0.00244	0	0	0
0136-5FF	0	0	0	0.044	0	0	0.17963	0	0	0.26062	0	0	0	0	0	0	0	0	6.66791	0	0	0	36.63765	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10634	11.63493	0.19672	0	0	0.00775	0	0	0	0.04429	3.38071	0.07456	2.15354	0	14.31603	0.00088	12.35483	0	0	0.40104	0	0	0	0.34973	0.40584	0	0	0	0	0	1.62202	0	0	0	0	0	0	0	0	0.00581	0	0	0	0.051	0	0.03654	0	0	0	0	0	0	0.01079	3.52283	0.00648	0	0	0	0.59885	0	0	0	0	0	0	0.04967	0	0	0	0	0	0	0.5377	0	0	0.3507	1.70043	0	0	1.59071	0	0	0	0	0.69947	0	0	0	0	0	0
0145-1FF	0	0	0.03324	0.95643	0	0	0	0.0028	0	0	0	0.01569	0	0	0.00446	0	0	0.00784	0	0	2.40419	0	3.04973	0	0	0	0	0	0	0	2.73937	0	0	0	0	0	0.0079	7.35824	0	0	0	0.00677	0	0	0	3.22499	0	0	0.02293	0	18.87912	0	0	0.34157	3.37809	0.03923	0	0	0	0	0	0.13623	0	0	0.0091	0.06684	0	0	0.35848	0	2.17248	0	0	0.05118	0.17016	0	0	0.00191	19.29953	0	0	0	0	0	0	0	0	0	0.02828	0	0	0.02665	0	0	0	0	0	0.03599	25.08944	0	0.00148	0	0.18951	0	0	0	0	0.04393	0.01232	0.37038	0	0	0	0	0	0	0	0.14027	0.00561	0	8.85851	0.12343	0	0	0	0.02412	0.3116
0145-4FF	0	0	0.02149	1.15851	0	0	0.01203	0	0	0	0	0.09728	0	0	0.62313	0	0	0.04071	0.01695	0	3.49173	0	8.92481	0	0	0	0	0	0	0	0.64629	0	0	0	0	0	0.03833	27.56623	0	0	0.00351	0	0	0	0	3.4614	0	0	0.07366	0	2.26452	0	0	0	8.63589	0.09097	0	0	0	0.01136	0	0.4745	0	0	0	0.09421	0	0	0.00442	0	0.02953	0	0	0.1108	0	0	1.04097	0.0798	33.35695	0	0	0	0	0	0	0	0	0.18443	0.24966	0	0	0.13086	0	0	0.03156	0	0	0	4.98246	0	0	0	0.42213	0.73073	0	0	0	0.00091	0.13471	0	0	0.06701	0	0	0	0	0	0.29126	0	0	0.09053	0.03941	0	0	0	0	0.27436
