Sample	richness	shannon	simpson	invsimpson
PU0002_V1	3	0.613400374008491	0.33098034482482	1.49472439600919
PU0002_V2	3	0.534822459477898	0.30467116231134	1.43816845468986
PU0004_V1	4	0.737335312109804	0.419730242051407	1.72333640742414
PU0004_V2	4	0.574169588831593	0.28887050086746	1.4062136379096
PU0005_V1	5	0.551708049486425	0.274717223718102	1.37877257354217
PU0005_V2	4	0.53188102096904	0.263694695105336	1.35813227658744
PU0006_V1	4	0.785921231959081	0.43619813160966	1.77367273161937
PU0006_V2	5	0.964444969974947	0.51745802246116	2.07235856474168
PU0008_V1	4	1.03485906940273	0.5931165180867	2.45770606193614
PU0008_V2	5	0.942985116928014	0.53794632610174	2.16425072776327
PU0009_V1	5	0.773418884004162	0.422248165194149	1.73084694804308
PU0009_V2	5	0.886118230992821	0.508203463602088	2.03336120934146
PU0012_V1	5	0.666281188239889	0.35568139585486	1.55202720139793
PU0012_V2	4	0.810118567777239	0.4451987921702	1.80244740978786
PU0013_V1	6	0.741106773237702	0.34660365864682	1.53046464559169
PU0013_V2	6	0.727154450861211	0.32830072166358	1.48876146253525
PU0014_V1	4	0.668253312373664	0.40676348203294	1.68566831223887
PU0014_V2	3	0.569967666008541	0.36205314479558	1.56752869277734
PU0016_V1	6	0.70064992428929	0.352362679609961	1.54407408053284
PU0016_V2	5	1.01550159333105	0.57181589366366	2.33544399523904
PU0017_V1	5	0.954476024354854	0.530094459062923	2.12808727048806
PU0017_V2	4	0.699684597216951	0.3951941638536	1.65342319837988
PU0020_V1	4	0.823052471850547	0.448595585329218	1.81355094989048
PU0020_V2	5	0.735469976687247	0.37880144984712	1.60979126521447
PU0026_V1	4	0.586612954306034	0.2987471367451	1.42601913289658
PU0026_V2	5	0.516208054534011	0.27878865598438	1.38655611603683
PU0035_V1	6	0.867969958049934	0.52937791941102	2.12484717833151
PU0035_V2	6	1.053703810636	0.589598814891411	2.43664013722428
PU0036_V1	4	0.685890273578472	0.365053458811265	1.5749357388857
PU0036_V2	4	0.791871850933606	0.44723567185217	1.80908924306086
PU0039_V1	5	0.571439032132989	0.3099401790721	1.44914972538951
PU0039_V2	4	0.741647096059085	0.48248091965554	1.93229590556236
PU0041_V1	5	0.868692748207148	0.51234856996002	2.05064506817506
PU0041_V2	4	0.941227028032977	0.5784844151315	2.37239152215919
PU0042_V1	4	0.623003505203755	0.34599318725446	1.52903605973456
PU0042_V2	4	0.641326736442685	0.35468823954706	1.54963857980537
PU0043_V1	3	0.634701942180455	0.40475024778674	1.6799670999976
PU0043_V2	4	0.764772045852073	0.5124435807748	2.05104468030418
PU0044_V1	6	0.591482265305716	0.28113497090872	1.39108171844735
PU0044_V2	3	0.739936576739646	0.48524592066094	1.94267523102292
PU0045_V1	4	0.620036814321397	0.33231513376161	1.4977125445928
PU0045_V2	4	0.953363730280749	0.5674639668407	2.3119461116242
PU0046_V1	4	0.589436105928165	0.340323723729181	1.51589504726932
PU0046_V2	3	0.854804572474312	0.50982869049594	2.04010308357657
PU0047_V1	6	1.13167589362489	0.60411663116154	2.52599648965817
PU0047_V2	6	1.33172411690047	0.665570151695084	2.99016372213359
PU0048_V1	4	0.700654802015421	0.38363642611386	1.62241904351202
PU0048_V2	5	0.691023686887305	0.35269314183768	1.54486235915832
PU0050_V1	5	0.70533582790681	0.376195042131808	1.60306516866654
PU0050_V2	5	0.429431058230949	0.197863579633134	1.24667073406621
PU0052_V1	6	0.731775105864955	0.36273811677138	1.56921357815033
PU0052_V2	6	1.07109411060654	0.591766282467811	2.44957718349453
PU0053_V1	5	0.868475040909303	0.54119857645641	2.17959219105385
PU0053_V2	4	0.822107247492836	0.520273372410629	2.0845205216667
PU0057_V1	6	0.698930974351361	0.369551380851572	1.5861720838579
PU0057_V2	6	0.499975896508785	0.240306980599734	1.31632116455334
PU0060_V1	6	0.925029092674388	0.51507692389478	2.06218274459477
PU0060_V2	5	0.890605352186095	0.53754307160184	2.16236353829482
PU0065_V1	5	1.19290973451844	0.641096107851195	2.78626123002698
PU0065_V2	5	0.918693646961684	0.49215892677863	1.96911997223213
PU0066_V1	6	1.06254226183185	0.595489855182605	2.47212588562253
PU0066_V2	6	0.972190191613514	0.55898449089418	2.26749395282617
PU0067_V1	5	0.871743621165338	0.494251579119451	1.9772676665187
PU0067_V2	4	0.942821151774588	0.5462097711991	2.2036613759675
PU0068_V1	3	0.410934087514065	0.22265349940462	1.28642760883864
PU0068_V2	3	0.727077751649493	0.40873360492416	1.69128502537631
PU0070_V1	4	0.622426963342643	0.347133209335535	1.53170602992723
PU0070_V2	4	0.708006969836093	0.408337916889213	1.69015393844792
PU0071_V1	5	0.78907150446218	0.45001589534146	1.81823436628383
PU0071_V2	5	0.838940436011578	0.477602790450433	1.91425218534809
PU0072_V1	6	0.720567485805225	0.38499636268026	1.62600664340478
PU0072_V2	5	0.928175282931802	0.545531183619431	2.20037099126865
PU0073_V1	4	0.606863880894525	0.316465182724333	1.46298326687389
PU0073_V2	6	1.04519389020057	0.58117007548838	2.38760399263748
