Sample	richness	shannon	simpson	invsimpson
PU0002_V1	48	3.03773971840738	0.9374382509786	15.9842078529158
PU0002_V2	64	2.84220241829251	0.899658962563799	9.96601216761204
PU0004_V1	57	2.77254540799145	0.865690205133143	7.44547336247006
PU0004_V2	59	2.66836046539497	0.82758295220694	5.79989051430825
PU0005_V1	72	3.22186290314148	0.937586943988765	16.0222886669737
PU0005_V2	55	2.53272691232508	0.802680393743993	5.0679201067459
PU0006_V1	70	3.10428704314913	0.926706064817737	13.6436936768814
PU0006_V2	66	2.87877336576567	0.909411501712079	11.0389289909814
PU0008_V1	63	3.24118937353626	0.941612866583635	17.1270610747217
PU0008_V2	55	3.2501599472044	0.945767352408663	18.4390776481239
PU0009_V1	74	3.34958949015082	0.94511877284012	18.221166904428
PU0009_V2	73	3.36136267985393	0.935926997430314	15.6071974138
PU0012_V1	84	3.30829721327216	0.950723434569	20.293622155957
PU0012_V2	73	3.15426737636087	0.935642284104616	15.538152435763
PU0013_V1	87	3.22176826353491	0.918066052196791	12.204953219169
PU0013_V2	65	3.08736710600432	0.923740789569904	13.1131701254193
PU0014_V1	60	2.94769928288434	0.884545807499382	8.66144380157216
PU0014_V2	75	3.21737844279528	0.942819143108295	17.4883703106076
PU0016_V1	66	2.90582979919319	0.867453675348761	7.54453209194022
PU0016_V2	65	3.09131032010785	0.928127460465533	13.9135197737161
PU0017_V1	61	3.10697447465911	0.932944208195831	14.912954915519
PU0017_V2	56	3.01313211843312	0.926678386058825	13.6385432104957
PU0020_V1	58	3.01116611477447	0.926285595318581	13.5658695789762
PU0020_V2	59	2.96421243208905	0.922585598246811	12.9174930937034
PU0026_V1	58	2.60373380228243	0.858352202202251	7.05976383358846
PU0026_V2	48	2.8081852241221	0.906898903554736	10.7410120630311
PU0035_V1	58	2.68592574993829	0.853789834153872	6.83946970590543
PU0035_V2	64	2.84294472308148	0.89764772194492	9.77017824128798
PU0036_V1	59	2.97190822823625	0.905313457570741	10.5611629102109
PU0036_V2	55	2.77658704793298	0.886540026710506	8.81368090444099
PU0039_V1	68	2.63055896906789	0.822813058748915	5.64375677428135
PU0039_V2	57	3.08566619451627	0.92782189312028	13.8546166314175
PU0041_V1	61	2.97956973029049	0.910295042619493	11.1476559289609
PU0041_V2	58	2.96391022778689	0.89308096221172	9.35287130043379
PU0042_V1	60	2.62375453734154	0.834857332015025	6.05537025773971
PU0042_V2	53	2.59464244658046	0.825854714788995	5.74233174781813
PU0043_V1	55	2.88478857201129	0.915490869315736	11.8330409022442
PU0043_V2	77	3.33700036496083	0.948072492112019	19.2576158701324
PU0044_V1	82	2.83612670728333	0.891070045953366	9.180211345466
PU0044_V2	49	2.97652817988696	0.927602922337583	13.8127122293933
PU0045_V1	56	2.77702626313207	0.886606142436122	8.8188198327821
PU0045_V2	53	2.57152793610342	0.850318170913941	6.68083765481682
PU0046_V1	60	3.07876504941775	0.92795795320332	13.880782743753
PU0046_V2	55	3.00345769069001	0.916451251011321	11.9690601248321
PU0047_V1	61	3.05136977650774	0.920171937026258	12.5269230236607
PU0047_V2	56	3.23852684606422	0.948043047012201	19.2467021735249
PU0048_V1	67	3.07940258784244	0.934382946669841	15.2399406746963
PU0048_V2	74	3.08297516821273	0.915917041573293	11.8930163580254
PU0050_V1	80	2.98414879125129	0.921276569775117	12.7026985122901
PU0050_V2	57	2.75366729266447	0.893421020634494	9.38271323250862
PU0052_V1	73	2.96738102173966	0.900715196546712	10.0720348453979
PU0052_V2	59	2.77433611265817	0.843411935157732	6.38618275924993
PU0053_V1	49	2.78853515592156	0.89047058526481	9.12996752897575
PU0053_V2	42	2.84310730336748	0.90941869375763	11.0398054685177
PU0057_V1	62	2.84934274839271	0.871444078930741	7.77871599909626
PU0057_V2	60	2.46454370624336	0.814881745324709	5.40195239931396
PU0060_V1	62	3.20341093680885	0.9353706914355	15.4728562352172
PU0060_V2	60	3.08765414291296	0.92481225348518	13.3000395191109
PU0065_V1	62	2.99047789024239	0.926834620585569	13.6676664291686
PU0065_V2	56	3.18675986598824	0.94126291647418	17.0250196293865
PU0066_V1	73	3.21544214590142	0.941517180183755	17.0990387115742
PU0066_V2	68	3.48150194388275	0.958121621997355	23.8786707531232
PU0067_V1	59	3.2463401238393	0.94548384926732	18.3431879646731
PU0067_V2	52	3.20304825522608	0.944523321136594	18.0255923838228
PU0068_V1	55	2.42462936006931	0.835445253986743	6.07700491312134
PU0068_V2	31	2.15503141550232	0.756865054211202	4.1129422870732
PU0070_V1	67	3.22052736869901	0.943415917433354	17.6728145909617
PU0070_V2	56	3.15851529011516	0.941587698148041	17.1196814420089
PU0071_V1	69	3.21673083504388	0.934455288444107	15.2567610149182
PU0071_V2	62	3.1619413822252	0.929162947808244	14.1169058996554
PU0072_V1	71	3.06823169208196	0.92229012159157	12.8683768457874
PU0072_V2	65	3.21858304875868	0.933906944032662	15.1301825186323
PU0073_V1	56	3.1109006733798	0.936973890476529	15.8664402350203
PU0073_V2	65	3.1549017966341	0.935250362331248	15.4441018668836
PU0074_V1	72	2.98847174784749	0.918730005755046	12.3046643387954
PU0074_V2	82	3.33151228778644	0.945137994557012	18.227550960367
PU0075_V1	46	2.76965160202937	0.9005099965876	10.0512610885624
PU0075_V2	70	2.97414694125857	0.917058736569219	12.0567249477042
PU0078_V1	72	3.01886174571365	0.909845702472305	11.0920946357859
PU0078_V2	62	2.89721495831203	0.908388937875543	10.9157123256738
PU0079_V1	62	2.51196837696997	0.81514188648002	5.40955428441023
PU0079_V2	75	2.93581417709484	0.904299025837593	10.4492144280891
